,holidays_fecha
1,2014-01-01
2,2014-01-06
3,2014-03-19
4,2014-04-13
5,2014-04-17
6,2014-04-18
7,2014-04-20
8,2014-05-01
9,2014-05-11
10,2014-05-29
11,2014-06-15
12,2014-06-19
13,2014-06-27
14,2014-06-29
15,2014-07-20
16,2014-08-07
17,2014-08-15
18,2014-10-13
19,2014-10-31
20,2014-11-01
21,2014-11-11
22,2014-12-08
23,2014-12-24
24,2014-12-25
25,2014-12-31
26,2015-01-01
27,2015-01-06
28,2015-03-19
29,2015-03-29
30,2015-04-02
31,2015-04-03
32,2015-04-05
33,2015-05-01
34,2015-05-10
35,2015-05-14
36,2015-06-04
37,2015-06-12
38,2015-06-21
39,2015-06-29
40,2015-07-20
41,2015-08-07
42,2015-08-15
43,2015-10-12
44,2015-10-31
45,2015-11-01
46,2015-11-11
47,2015-12-08
48,2015-12-24
49,2015-12-25
50,2015-12-31
51,2016-01-01
52,2016-01-06
53,2016-03-19
54,2016-03-20
55,2016-03-24
56,2016-03-25
57,2016-03-27
58,2016-05-01
59,2016-05-05
60,2016-05-08
61,2016-05-26
62,2016-06-03
63,2016-06-19
64,2016-06-29
65,2016-07-20
66,2016-08-07
67,2016-08-15
68,2016-10-10
69,2016-10-31
70,2016-11-01
71,2016-11-11
72,2016-12-08
73,2016-12-24
74,2016-12-25
75,2016-12-31
76,2017-01-01
77,2017-01-06
78,2017-03-19
79,2017-04-09
80,2017-04-13
81,2017-04-14
82,2017-04-16
83,2017-05-01
84,2017-05-14
85,2017-05-25
86,2017-06-15
87,2017-06-18
88,2017-06-23
89,2017-06-29
90,2017-07-20
91,2017-08-07
92,2017-08-15
93,2017-10-09
94,2017-10-31
95,2017-11-01
96,2017-11-11
97,2017-12-08
98,2017-12-24
99,2017-12-25
100,2017-12-31
101,2018-01-01
102,2018-01-06
103,2018-03-19
104,2018-03-25
105,2018-03-29
106,2018-03-30
107,2018-04-01
108,2018-05-01
109,2018-05-10
110,2018-05-13
111,2018-05-31
112,2018-06-08
113,2018-06-17
114,2018-06-29
115,2018-07-20
116,2018-08-07
117,2018-08-15
118,2018-10-08
119,2018-10-31
120,2018-11-01
121,2018-11-11
122,2018-12-08
123,2018-12-24
124,2018-12-25
125,2018-12-31
126,2019-01-01
127,2019-01-06
128,2019-03-19
129,2019-04-14
130,2019-04-18
131,2019-04-19
132,2019-04-21
133,2019-05-01
134,2019-05-12
135,2019-05-30
136,2019-06-16
137,2019-06-20
138,2019-06-28
139,2019-06-29
140,2019-07-20
141,2019-08-07
142,2019-08-15
143,2019-10-14
144,2019-10-31
145,2019-11-01
146,2019-11-11
147,2019-12-08
148,2019-12-24
149,2019-12-25
150,2019-12-31
151,2020-01-01
152,2020-01-06
153,2020-03-19
154,2020-04-05
155,2020-04-09
156,2020-04-10
157,2020-04-12
158,2020-05-01
159,2020-05-10
160,2020-05-21
161,2020-06-11
162,2020-06-19
163,2020-06-21
164,2020-06-29
165,2020-07-20
166,2020-08-07
167,2020-08-15
168,2020-10-12
169,2020-10-31
170,2020-11-01
171,2020-11-11
172,2020-12-08
173,2020-12-24
174,2020-12-25
175,2020-12-31
176,2021-01-01
177,2021-01-06
178,2021-03-19
179,2021-03-28
180,2021-04-01
181,2021-04-02
182,2021-04-04
183,2021-05-01
184,2021-05-09
185,2021-05-13
186,2021-06-03
187,2021-06-11
188,2021-06-20
189,2021-06-29
190,2021-07-20
191,2021-08-07
192,2021-08-15
193,2021-10-11
194,2021-10-31
195,2021-11-01
196,2021-11-11
197,2021-12-08
198,2021-12-24
199,2021-12-25
200,2021-12-31
201,2014-08-01
202,2014-08-02
203,2014-08-03
204,2014-08-04
205,2014-08-05
206,2014-08-06
208,2014-08-08
209,2014-08-09
210,2014-08-10
211,2015-07-31
212,2015-08-01
214,2015-08-02
215,2015-08-03
216,2015-08-04
217,2015-08-05
218,2015-08-06
220,2015-08-08
221,2015-08-09
222,2016-07-29
223,2016-07-30
224,2016-07-31
225,2016-08-01
226,2016-08-02
227,2016-08-03
228,2016-08-04
229,2016-08-05
230,2016-08-06
232,2017-07-28
233,2017-07-29
234,2017-07-30
235,2017-07-31
236,2017-08-01
237,2017-08-02
238,2017-08-03
239,2017-08-04
240,2017-08-05
241,2017-08-06
242,2018-08-03
243,2018-08-04
244,2018-08-05
245,2018-08-06
247,2018-08-08
248,2018-08-09
249,2018-08-10
250,2018-08-11
251,2018-08-12
252,2019-08-02
253,2019-08-03
254,2019-08-04
255,2019-08-05
256,2019-08-06
258,2019-08-08
259,2019-08-09
260,2019-08-10
261,2019-08-11
1100,2022-01-01
213,2022-01-10
310,2022-03-21
410,2022-04-14
510,2022-04-15
610,2022-05-01
710,2022-05-30
810,2022-05-30
910,2022-06-20
1010,2022-06-27
1110,2022-07-04
1210,2022-07-20
1310,2022-08-07
1410,2022-08-15
1510,2022-10-17
1610,2022-11-07
1710,2022-11-14
1810,2022-12-08
1910,2022-12-25
