var,coef,std err,z,P>|z|,[0.025,0.975]
Intercept,2.2965,0.039,59.130,0.000,2.220,2.373
dia[T.Monday],-0.0916,0.030,-3.084,0.002,-0.150,-0.033
dia[T.Saturday],0.0413,0.029,1.417,0.156,-0.016,0.098
dia[T.Sunday],-0.1440,0.030,-4.800,0.000,-0.203,-0.085
dia[T.Thursday],-0.0575,0.030,-1.943,0.052,-0.115,0.001
dia[T.Tuesday],-0.0496,0.029,-1.686,0.092,-0.107,0.008
dia[T.Wednesday],-0.0455,0.029,-1.546,0.122,-0.103,0.012
mes[T.10],0.0807,0.040,2.026,0.043,0.003,0.159
mes[T.11],0.0266,0.040,0.660,0.509,-0.052,0.106
mes[T.12],0.1286,0.039,3.272,0.001,0.052,0.206
mes[T.2],0.1095,0.042,2.579,0.010,0.026,0.193
mes[T.3],0.0960,0.042,2.296,0.022,0.014,0.178
mes[T.4],0.0869,0.042,2.070,0.038,0.005,0.169
mes[T.5],0.1191,0.041,2.875,0.004,0.038,0.200
mes[T.6],0.0671,0.042,1.587,0.113,-0.016,0.150
mes[T.7],0.1060,0.040,2.636,0.008,0.027,0.185
mes[T.8],0.1017,0.040,2.514,0.012,0.022,0.181
mes[T.9],0.1510,0.040,3.803,0.000,0.073,0.229
semana_del_mes[T.2],0.0090,0.024,0.383,0.702,-0.037,0.055
semana_del_mes[T.3],0.0339,0.024,1.412,0.158,-0.013,0.081
semana_del_mes[T.4],0.0022,0.024,0.092,0.926,-0.044,0.049
semana_del_mes[T.5],-0.0162,0.040,-0.402,0.687,-0.095,0.063
dia_especial[T.1],-0.0097,0.029,-0.330,0.741,-0.067,0.048
quincena[T.1],0.0012,0.037,0.033,0.974,-0.071,0.074
